Nepřevázka | 293 01 
Neveklovice | 294 13 
Niměřice | 294 30 
Nová Telib | 294 06 
Nová Ves u Bakova | 294 01 
Obrubce | 294 04 
Obruby | 294 03 
Pěčice | 294 46 
Pětikozly | 294 30 
Petkovy | 294 04 
Písková Lhota | 294 31 
Plazy | 293 01 
Plužná | 294 23 
Prodašice | 294 04 
Předměřice nad Jizerou | 294 74 
Přepeře | 294 04 
Ptýrov | 295 01 
Rabakov | 294 04 
Rohatsko | 294 04 
Rokytá | 295 01 
Rokytovec | 294 30 
Řepov | 293 01 
Řitonice | 294 04 
Sedlec | 294 71 
Semčice | 294 46 
Sezemice | 294 11 
Skalsko | 294 26 
Skorkov | 294 74 
Smilovice | 294 42 
Sojovice | 294 75 
Sovínky | 294 29 
Strašnov | 294 31 
Strážiště | 294 13 
Strenice | 294 30 
Sudoměř | 294 25 
Sukorady | 294 06 
Tuřice | 294 74 
Ujkovice | 294 04 
Velké Všelisy | 294 27 
Veselice | 294 04 
Vinařice | 294 41 
Vinec | 293 01 
Vlkava | 294 43 
Vrátno | 294 26 
Všejany | 294 43 
Zdětín | 294 71 
Žďár | 294 12 
Žerčice | 294 46 
Židněves | 294 06
-
Běrunice | 289 08 
Bobnice | 289 31 
Bříství | 289 15 
Budiměřice | 288 02 
Černíky | 289 15 
Čilec | 289 25 
Činěves | 289 01 
Dlouhopolsko | 289 03 
Dobšice | 289 05 
Dvory | 288 02 
Dymokury | 289 01 
Hořany | 289 14 
Hořátev | 289 13 
Hradčany | 289 05 
Hradištko | 289 12 
Hrubý Jeseník | 289 32 
Chleby | 289 31 
Choťánky | 290 01 
Chotěšice | 289 01 
Chrást | 289 14 
Chroustov | 289 02 
Jíkev | 289 32 
Jiřice | 289 22 
Jizbice | 288 02 
Kamenné Zboží | 288 02 
Kněžice | 289 02 
Kněžičky | 289 08 
Kolaje | 289 04 
Kostelní Lhota | 289 12 
Kostomlátky | 289 21 
Kostomlaty nad Labem | 289 21 
Košík | 289 35 
Kounice | 289 15 
Kouty | 290 01 
Kovanice | 288 02 
Krchleby | 288 02 
Křečkov | 290 01 
Křinec | 289 33 
Libice nad Cidlinou | 289 07 
Loučeň | 289 37 
Lysá nad Labem | 289 22 
Mcely | 289 36 
Městec Králové | 289 03 
Milčice | 289 11 
Milovice | 289 23 
Netřebice | 288 02 
Nový Dvůr | 289 32 
Nymburk | 288 02 
Odřepsy | 289 07 
Okřínek | 290 01 
Opočnice | 289 04 
Opolany | 289 07 
Oseček | 289 41 
Oskořínek | 289 32 
Ostrá | 289 22 
Pátek | 290 01 
Písková Lhota | 290 01 
Písty | 289 13 
Poděbrady | 290 01 
Podmoky | 289 04 
Přerov nad Labem | 289 16 
Rožďalovice | 289 34 
Sadská | 289 12 
Sány | 289 06 
Seletice | 289 34 
Semice | 289 17 
Senice | 290 01 
Sloveč | 289 03 
Sokoleč | 290 01 
Stará Lysá | 289 26 
Starý Vestec | 289 16 
Straky | 289 25 
Stratov | 289 22 
Třebestovice | 289 12 
Úmyslovice | 290 01 
Velenice | 289 01 
Velenka | 289 12 
Vestec | 289 33 
Vlkov pod Oškobrhem | 289 04 
Vrbice | 289 04 
Vrbová Lhota | 289 11 
Všechlapy | 288 02 
Vykáň | 289 15 
Záhornice | 289 03 
Zbožíčko | 289 25 
Zvěřínek | 289 13 
Žitovlice | 289 34
-
Babice | 251 01 
Bašť | 250 65 
Borek | 277 14 
Bořanovice | 250 65 
Brandýs nad Labem-Stará Boleslav | 250 01 
Brázdim | 250 63 
Březí | 251 01 
Čelákovice | 250 88 
Černé Voděrady | 281 63 
Čestlice | 251 01 
Dobročovice | 250 82 
Dobřejovice | 251 01 
Doubek | 251 01 
Dřevčice | 250 01 
Dřísy | 277 14 
Herink | 251 01 
Hlavenec | 294 74 
Horoušany | 250 82 
Hovorčovice | 250 64 
Hrusice | 251 66 
Husinec | 250 68 
Jenštejn | 250 73 
Jevany | 281 66 
Jirny | 250 90 
Kaliště | 251 65 
Kamenice | 251 68 
Káraný | 250 75 
Klecany | 250 67 
Klíčany | 250 69 
Klokočná | 251 64 
Konětopy | 277 14 
Konojedy | 281 63 
Kostelec nad Černými Lesy | 281 63 
Kostelec u Křížků | 251 68 
Kostelní Hlavno | 294 76 
Kozojedy | 281 63 
Křenek | 277 14 
Křenice | 250 84 
Křížkový Újezdec | 251 68 
Kunice | 251 63 
Květnice | 250 84 
Lázně Toušeň | 250 89 
Lhota | 277 14 
Líbeznice | 250 65 
Louňovice | 251 62 
Máslovice | 250 69 
Měšice | 250 64 
Mirošovice | 251 66 
Mnichovice | 251 64 
Modletice | 251 01 
Mochov | 250 87 
Mratín | 250 63 
Mukařov | 251 62 
Nehvizdy | 250 81 
Nová Ves | 250 63 
Nový Vestec | 250 75 
Nučice | 281 63 
Nupaky | 251 01 
Odolena Voda | 250 70 
Oleška | 281 62 
Ondřejov | 251 65 
Oplany | 281 63 
Panenské Břežany | 250 70 
Pětihosty | 251 67 
Petříkov | 251 69 
Podolanka | 250 73 
Polerady | 250 63 
Popovičky | 251 01 
Prusice | 281 63 
Předboj | 250 72 
Přezletice | 250 73 
Radějovice | 251 68 
Radonice | 250 73 
Říčany | 251 01 
Sedlec | 250 65 
Senohraby | 251 66 
Sibřina | 250 84 
Sluhy | 250 63 
Sluštice | 250 84 
Strančice | 251 63 
Struhařov | 251 64 
Stříbrná Skalice | 281 67 
Sudovo Hlavno | 294 76 
Sulice | 251 68 
Svémyslice | 250 91 
Světice | 251 01 
Svojetice | 251 62 
Šestajovice | 250 92 
Škvorec | 250 83 
Štíhlice | 281 63 
Tehov | 251 01 
Tehovec | 251 62 
Úvaly | 250 82 
Veleň | 250 63 
Veliká Ves | 250 70 
Velké Popovice | 251 69 
Větrušice | 250 67 
Vlkančice | 281 63 
Vodochody | 250 69 
Všestary | 251 63 
Vyšehořovice | 250 87 
Výžerky | 281 63 
Vyžlovka | 281 63 
Zápy | 250 01 
Záryby | 277 13 
Zdiby | 250 66 
Zeleneč | 250 91 
Zlatá | 250 83 
Zlonín | 250 64 
Zvánovice | 251 65
- 
Bojanovice | 252 06 
Bratřínov | 252 06 
Březová-Oleško | 252 45 
Buš | 252 08 
Černolice | 252 10 
Černošice | 252 28 
Červený Újezd | 273 51 
Číčovice | 252 68 
Čisovice | 252 04 
Davle | 252 06 
Dobrovíz | 252 61 
Dobříč | 252 25 
Dobřichovice | 252 29 
Dolní Břežany | 252 41 
Drahelčice | 252 19 
Holubice | 252 65 
Horoměřice | 252 62 
Hostivice | 253 01 
Hradištko | 252 09 
Hvozdnice | 252 05 
Choteč | 252 26 
Chrášťany | 252 19 
Chýně | 253 01 
Chýnice | 252 17 
Jeneč | 252 61 
Jesenice | 252 42 
Jílové u Prahy | 254 01 
Jíloviště | 252 02 
Jinočany | 252 25 
Kamenný Přívoz | 252 82 
Karlík | 252 29 
Klínec | 252 10 
Kněževes | 252 68 
Kosoř | 252 26 
Kytín | 252 10 
Lety | 252 29 
Libčice nad Vltavou | 252 66 
Libeř | 252 41 
Lichoceves | 252 64 
Líšnice | 252 10 
Měchenice | 252 06 
